track_id,track_name,duration_minutes,popularity,explicit,primary_artist,all_artists,artist_count,artist_popularity,artist_followers,primary_genres,all_genres,genre_count,album_name,album_type,release_date,market,source_id,content_source,is_collaboration,is_recent,popularity_tier,duration_category
2431CSlUYjNQPwCWWdwmoB,Lâu Đài,3.62,50,true,Wxrdie,Wxrdie | Flava Sati,2,60,687456,vietnamese hip hop,v-pop | vietnamese hip hop,2,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,BG,1wmnEWgcDdCcOujQpLwYxc,new_releases,true,true,Moderate,Long
27AEQr4wqfHyVpwgFgnGs6,Mời Em,3.39,58,true,Wxrdie,Wxrdie | Mcee Blue,2,60,687456,vietnamese hip hop,v-pop | vietnamese hip hop,2,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,BG,1wmnEWgcDdCcOujQpLwYxc,new_releases,true,true,Moderate,Standard
1Xehs3MscmdYqsEdpgSnPE,Friday Night Fantasy,2.07,20,false,Tiji Jojo,Tiji Jojo,1,57,49840,j-rap,hip hop | j-rap,2,FNF,album,2025-03-07T00:00:00.000+07:00,BH,65zERkLZ5jhy7Emo8oEMWz,new_releases,false,true,Niche,Standard
6ImWeruCQWxZ9WNodYwjvg,Anh Freestyle,2.87,54,true,Wxrdie,Wxrdie | Gill,2,60,687456,vietnamese hip hop,v-pop | vietnam indie | vietnamese hip hop,3,THE WXRDIES,album,2024-11-12T00:00:00.000+07:00,BH,1wmnEWgcDdCcOujQpLwYxc,new_releases,true,true,Moderate,Standard
3t4WT0JFQuyFJGCP4BhNPi,BÁO THỨC,3.8,32,true,Coldzy,Coldzy,1,44,58245,vietnamese hip hop,v-pop | vietnam indie | vietnamese hip hop,3,MEDICINE,album,2024-06-03T00:00:00.000+07:00,BJ,6QOYGkZuyXSpEZubRkR0oI,new_releases,false,true,Niche,Long
7jY6W92bLfnXnevTa7JKHi,Perfect (Exceeder),2.53,65,false,David Guetta,David Guetta | Mason | Princess Superstar,3,86,27100694,edm,edm | electroclash,2,Perfect (Exceeder),single,2024-02-09T00:00:00.000+07:00,BJ,2eScJnMQTMY0WYPz2MXWsp,new_releases,true,true,Popular,Standard
0MhxSct28yMTZnRhkNJxHb,Bullet,2.95,22,false,Shi Shi,Shi Shi,1,47,203881,chinese r&b,c-pop | chinese indie | chinese r&b | mandopop | taiwanese indie | taiwanese pop,6,Boomerang,album,2023-12-01T00:00:00.000+07:00,BJ,2V2VAi4Rb2aDUWBtSvICMR,new_releases,false,true,Niche,Standard
3rxbssNItXaXyqc0wJUsYC,2000 câu hỏi vì sao,3.61,45,false,AMEE,AMEE,1,56,1652522,v-pop,v-pop | vietnam indie | vietnamese hip hop,3,MỘNGMEE,single,2024-08-02T00:00:00.000+07:00,BN,2Wxld2nOotB59y33f2xrBU,new_releases,false,true,Moderate,Long
7nHXJNSBnkHFjddclFrXiI,X's,3.06,64,true,Cigarettes After Sex,Cigarettes After Sex,1,83,17261912,dream pop,dream pop,1,X's,album,2024-07-12T00:00:00.000+07:00,BN,10i6evsxSFs2fuPQRWvI6I,new_releases,false,true,Popular,Standard
3kkrXydZaaor24348eYbIp,Renaissance Man,2.37,10,false,Jinan Laetitia,Jinan Laetitia,1,16,3516,indonesian r&b,indie jazz | indonesian jazz | indonesian r&b,3,Renaissance Man,single,2024-08-23T00:00:00.000+07:00,BO,3fiZhTVA6QGTc7Xw0uSXom,new_releases,false,true,Underground,Standard
3Bk1N3yo7UEiayrbdg35wK,Racing Horse,4.04,2,false,Kimmese,Kimmese | Pain A.K.A Dai Ca P,2,38,31687,vietnamese hip hop,v-pop | vietnam indie | vietnamese hip hop,3,FTOK,single,2023-12-06T00:00:00.000+07:00,BO,0SPyp6rOaeAbWQQAHJPMTU,new_releases,true,true,Underground,Long
78Hz15kEfWJ3wbuYlD0Zyw,God Loves Everyone,2.58,37,false,Leon Bridges,Leon Bridges,1,72,1921994,retro soul,retro soul,1,Leon,album,2024-10-04T00:00:00.000+07:00,BS,6mHNMtHrXIdUWWuZD9njsG,new_releases,false,true,Niche,Standard
7CX6d03WPBX0P3ttSAtEcm,I Love About You,3.08,44,false,Pamungkas,Pamungkas,1,71,6820870,indonesian indie,indonesian indie | indonesian pop,2,Hardcore Romance,album,2024-08-21T00:00:00.000+07:00,BS,4LvgUXgET9nwyO1wpRpR0Y,new_releases,false,true,Moderate,Standard
0vb3agb9QlHY2hZ2GmJSXk,Lover,3.51,26,false,Aziz Hedra,Aziz Hedra,1,60,927021,indonesian pop,indonesian pop,1,Lesson Learned,album,2024-08-09T00:00:00.000+07:00,BS,1ShrAiTDbq2soLmIpmIvd8,new_releases,false,true,Niche,Long
